cost,cost_withoutprediction
239335.92,642280.4
89645.836,381168.94
63777.61,203295.6
56587.598,118330.77
58469.14,109647.15
22112.86,110592.15
38659.406,67791.32
12609.072,49272.14
5238.243,86320.55
7430.316,83240.34
5893.5884,143773.61
9539,95697.62
3261.8667,119794.78
6215.241,96264.85
9271.682,67976.31
3372.5078,111196.34
2990.518,54339.418
3279.5903,26143.098
4124.716,60807.375
2562.4653,22526.969
2804.2832,125755.98
6127.115,10383.08
4127.965,28917.008
3369.5757,21624.648
2701.003,101954.01
2765.8442,47654.582
1891.7231,206715.9
1827.1438,377909.94
2336.724,165007.69
1867.387,132728.12
2590.7397,83015.67
1628.0824,47425.11
1256.1206,36440.68
1309.0286,18390.32
1337.8245,13969.332
1520.7242,11965.034
1511.1869,9105.464
1249.3926,36275.4
859.0378,12592.836
571.1827,7218.7534
1187.8372,49802.938
635.2925,19311.305
1030.7723,6426.786
524.19183,10130.256
620.29297,17784.309
1030.5629,10318.443
1295.7529,9336.416
1295.8116,2823.2183
599.76697,20221.367
468.92462,2747.349
1091.4426,3070.539
770.4313,5145.926
551.91266,4472.0127
490.5648,7786.0156
543.48804,5212.546
464.02118,7875.0083
698.245,12057.778
989.4715,5024.4287
9576.157,2725.644
928.4264,4187.5674
1410.6882,4676.6543
1116.7839,1808.7274
535.7009,1030.3942
669.90375,2788.602
438.46234,2771.6821
315.59613,2430.7795
260.37912,10613.041
556.68225,1187.0393
1088.9563,4254.416
966.8552,1792.1663
618.8944,2322.7114
548.3095,4255.766
626.2621,3078.5508
750.99756,5194.2656
256.63083,3142.0322
142.7443,109056.57
181.34131,2738.159
8173.376,2817.4712
440.71466,1432.2582
971.3216,22446.938
724.7355,3920.8757
779.96814,15836.758
729.3831,1731.3829
617.57104,1432.5042
329.87982,9174.35
289.4547,3107.001
334.16458,12507.496
394.93402,2617.433
318.37424,1817.389
519.1138,2597.0596
635.2265,4564.662
914.984,1870.1086
991.9043,7644.3057
803.7999,890.1021
161.66592,660.01874
140.58865,355.1781
36.35437,612.08887
54.56796,520.2837
75.61124,728.63666
164.2905,11124.252
32.61939,5189.8916
72.19513,2508.3804
79.58241,2728.5688
90.00361,3512.0051
278.11636,1759.4508
807.534,4639.5312
2180.6982,4529.829
1152.6024,1776.4711
527.15985,2148.8452
315.58765,876.27515
205.88718,2352.5388
189.85274,150.44429
200.22363,776.093
82.12775,3973.034
99.99443,1686.5923
192.29338,1051.0293
345.7605,1908.0322
215.93494,640.3441
334.53668,1368.6796
445.44125,1656.4663
616.4823,1694.0098
696.79297,2651.7842
901.5626,1276.3026
1053.333,764.227
1250.813,2354.5889
505.5349,2861.555
378.1596,2366.0618
226.80907,2082.8643
195.22876,772.17773
43.139732,249.4393
38.23014,3426.6643
40.290802,2310.3418
56.12386,891.38196
101.0589,530.1934
194.20113,3266.871
471.15802,2987.6995
1558.4548,2264.523
2079.0112,827.78467
776.8768,945.19556
181.79472,647.2076
73.031296,1013.03705
87.025116,2816.8008
109.998405,1008.2609
64.57037,1492.2997
44.609543,1282.4971
51.505215,785.7891
96.7062,312.49408
203.20187,1241.6539
336.668,1411.9308
349.7544,424.9239
436.4825,830.5593
450.72913,2578.935
846.9975,1093.7466
722.0596,866.31555
447.1473,680.4922
274.50726,4807.919
344.78674,1337.7716
373.16766,1326.5751
396.84552,2971.254
250.4072,1209.7014
204.22539,764.1885
590.434,1707.6277
405.59082,2878.0503
505.94916,3538.8142
657.2114,3419.1685
224.50436,1313.5529
258.9521,1313.298
143.76746,3378.731
290.3225,1332.821
388.5866,6235.1895
522.0062,825.9528
731.67633,1026.2299
533.76825,562.39404
434.7,506.14783
364.69415,1727.8435
208.89308,608.44446
221.63855,698.4374
201.62102,1916.4155
362.0716,1758.6295
339.42224,1929.0138
481.04462,563.3562
810.8789,386.79178
793.9729,2359.353
446.20776,9799.32
331.5046,3077.2754
101.16953,409.7378
109.74837,174.03735
437.05212,406.8537
65.43458,218.32596
107.105774,553.6559
231.33708,5743.399
381.19992,2035.7959
947.16455,897.3094
1184.1743,1070.0303
1062.8761,863.6874
535.0055,1427.3889
311.46136,824.0284
111.72229,1454.614
165.75476,459.97516
95.80892,347.13687
