predictions ,without_predictions
-0.25138832,-0.797762854
-0.254966064,-0.779236844
-0.245481433,-0.777565968
-0.2463327,-0.768678498
-0.252352876,-0.759087581
-0.252655596,-0.750136319
-0.253027131,-0.734934207
-0.251669114,-0.721969519
-0.253452382,-0.711319902
-0.253008542,-0.703038697
-0.253501258,-0.696257308
-0.255004723,-0.686618887
-0.254153821,-0.679664967
-0.254099993,-0.670669359
-0.254895472,-0.663445505
-0.254284124,-0.654993566
-0.255029045,-0.644335476
-0.254892421,-0.634709786
-0.255585618,-0.624219036
-0.256623632,-0.616582257
-0.257273021,-0.608616572
-0.257504025,-0.599761072
-0.256603223,-0.592845909
-0.25637308,-0.585843452
-0.2570842,-0.579522024
-0.25711907,-0.572274929
-0.257013601,-0.563281743
-0.256302927,-0.5501098
-0.256196327,-0.534712065
-0.256728417,-0.520586163
-0.256804297,-0.507771197
-0.256516453,-0.496349542
-0.255987997,-0.484199596
-0.255850667,-0.473298721
-0.256387189,-0.463432114
-0.256628003,-0.453969419
-0.256483335,-0.445528835
-0.255612151,-0.436182086
-0.256161104,-0.428547065
-0.256134505,-0.420835678
-0.255862586,-0.412678588
-0.255841626,-0.406180821
-0.255609104,-0.399421174
-0.255725186,-0.392985036
-0.255787275,-0.386763297
-0.255502248,-0.380907803
-0.255604647,-0.375791257
-0.25546558,-0.369824095
-0.255391664,-0.36418654
-0.255710245,-0.35903751
-0.255605317,-0.354662005
-0.255542222,-0.350597711
-0.255401112,-0.346017084
-0.255305933,-0.341666129
-0.255387694,-0.337531705
-0.255385581,-0.333776026
-0.255370293,-0.330382376
-0.25515849,-0.326615146
-0.255228082,-0.323435766
-0.25542786,-0.320514848
-0.255070484,-0.317253276
-0.254964681,-0.315163973
-0.254731379,-0.312436744
-0.254564653,-0.310077164
-0.254701523,-0.307532258
-0.254880459,-0.305150319
-0.255022732,-0.303229277
-0.254938315,-0.300685822
-0.254991971,-0.298758521
-0.255131102,-0.297178382
-0.25494458,-0.295883401
-0.254842856,-0.29509812
-0.254628465,-0.293198399
-0.254775486,-0.292374453
-0.25502431,-0.291174003
-0.255016437,-0.289394447
-0.255014725,-0.288296108
-0.255080252,-0.286884234
-0.255222596,-0.28605782
-0.255436221,-0.284891795
-0.255380771,-0.284081534
-0.255485031,-0.283397627
-0.255226141,-0.282423702
-0.25525134,-0.281749223
-0.255223013,-0.280825543
-0.255169557,-0.280255838
-0.25507369,-0.280036424
-0.254997929,-0.279347695
-0.254967529,-0.279437867
-0.254974168,-0.279568414
-0.254835029,-0.279566515
-0.254639808,-0.279510991
-0.254458283,-0.279767094
-0.254552642,-0.280026976
-0.25470753,-0.27931268
-0.254737843,-0.278542931
-0.254697221,-0.278443756
-0.254543111,-0.277673577
-0.254618002,-0.277462871
-0.254687892,-0.276680473
-0.254505123,-0.275823005
-0.254475879,-0.275364009
-0.254352564,-0.274889046
-0.254564524,-0.274606969
-0.254742104,-0.274518916
-0.25464476,-0.274491461
-0.254640262,-0.274372346
-0.25457799,-0.273726308
-0.254540269,-0.273031921
-0.25458637,-0.272048229
-0.254498106,-0.270895568
-0.254479196,-0.26991619
-0.254503603,-0.26851779
-0.254629294,-0.26735808
-0.254750013,-0.26626776
-0.254865133,-0.265719696
-0.254943273,-0.265637685
-0.254852516,-0.265273778
-0.254877124,-0.265611601
-0.255016664,-0.266105412
-0.254928262,-0.266209986
-0.25486114,-0.265946537
-0.254822507,-0.265868036
-0.254877485,-0.265580061
-0.25500765,-0.264696625
-0.25501996,-0.263944365
-0.254944137,-0.263948238
-0.254765577,-0.263922443
-0.254764166,-0.263752951
-0.254831781,-0.263207545
-0.254709417,-0.263004431
-0.254659426,-0.263060079
-0.254617545,-0.26230041
-0.254773898,-0.261405472
-0.254810206,-0.26048849
-0.254790993,-0.259517542
-0.254695015,-0.258629285
-0.254681025,-0.257565243
-0.254738875,-0.256550072
-0.254831816,-0.255524808
-0.254802221,-0.254541047
-0.254805577,-0.253756506
-0.254758561,-0.253073538
-0.254873622,-0.252622197
-0.254885539,-0.252238542
-0.25485264,-0.251553567
-0.254813775,-0.250976915
-0.254694436,-0.250288257
-0.254725786,-0.249981077
-0.25479493,-0.249622138
-0.254744819,-0.249838932
-0.254709688,-0.250812246
-0.254575386,-0.251331072
-0.254655563,-0.251909071
-0.254716437,-0.252398333
-0.254700979,-0.252999699
-0.254696069,-0.2540701
-0.254553095,-0.255083292
-0.254566292,-0.256624604
-0.254690314,-0.257910748
-0.254671897,-0.259237242
-0.254615077,-0.260427641
-0.254467165,-0.261372613
-0.254508887,-0.262512326
-0.254600402,-0.263178214
-0.254603619,-0.264084032
-0.254483862,-0.265182082
-0.254368333,-0.265929723
-0.254451309,-0.267047932
-0.254561655,-0.268243692
-0.254556923,-0.269111761
-0.254508604,-0.269727939
-0.25437245,-0.270385848
-0.254481222,-0.271224027
-0.254580834,-0.272076754
-0.254513529,-0.27242744
-0.254478408,-0.272498422
-0.254433058,-0.272360154
-0.254528646,-0.272391592
-0.254646067,-0.272304798
-0.254603083,-0.271988205
-0.254484982,-0.271701518
-0.254361863,-0.270981931
-0.254485854,-0.270236859
-0.254666573,-0.269644994
-0.254696916,-0.268949328
-0.254675018,-0.268354253
-0.254617607,-0.267580888
-0.254642126,-0.267108516
-0.25466384,-0.266626286
-0.254590041,-0.266225911
-0.254535798,-0.265883772
-0.254470827,-0.26540207
-0.254527474,-0.264808547
-0.254581616,-0.264130451
-0.25451331,-0.263510611
-0.254473196,-0.263116214
-0.254379949,-0.262590481
-0.254410553,-0.262640954
-0.25446801,-0.262950957
